question_id,deepseek-r1-distill-llama-70b_COT_with_Panchavakya,deepseek-r1-distill-llama-70b_COT_without_Panchavakya,deepseek-r1-distill-llama-70b_ZeroShot_with_Panchavakya,deepseek-r1-distill-llama-70b_ZeroShot_without_Panchavakya,gemma2-9b-it_COT_with_Panchavakya,gemma2-9b-it_COT_without_Panchavakya,gemma2-9b-it_ZeroShot_with_Panchavakya,gemma2-9b-it_ZeroShot_without_Panchavakya,llama-3.1-8b-instant_COT_with_Panchavakya,llama-3.1-8b-instant_COT_without_Panchavakya,llama-3.1-8b-instant_ZeroShot_with_Panchavakya,llama-3.1-8b-instant_ZeroShot_without_Panchavakya,llama-3.3-70b-versatile_COT_with_Panchavakya,llama-3.3-70b-versatile_COT_without_Panchavakya,llama-3.3-70b-versatile_ZeroShot_with_Panchavakya,llama-3.3-70b-versatile_ZeroShot_without_Panchavakya,mistral-saba-24b_COT_with_Panchavakya,mistral-saba-24b_COT_without_Panchavakya,mistral-saba-24b_ZeroShot_with_Panchavakya,mistral-saba-24b_ZeroShot_without_Panchavakya,qwen3-32b_COT_with_Panchavakya,qwen3-32b_COT_without_Panchavakya,qwen3-32b_ZeroShot_with_Panchavakya,qwen3-32b_ZeroShot_without_Panchavakya
1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1
4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
7,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
8,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
9,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
12,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0
13,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
19,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1
20,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
21,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
22,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
24,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1
25,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1
26,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
27,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
