question_id,correct_answer,model,model_short,strategy,predicted_answer,is_correct
1,A,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,True
1,A,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,False
2,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,False
2,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,False
3,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
3,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
4,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
4,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,False
5,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,False
5,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
6,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,True
6,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
7,A,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,True
7,A,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,True
8,C,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,True
8,C,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,True
9,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,True
9,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
10,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,False
10,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,False
11,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
11,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
12,A,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,True
12,A,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,True
13,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,False
13,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,False
14,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,False
14,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,False
15,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,False
15,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,False
16,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
16,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
17,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,False
17,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,False
18,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,False
18,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
19,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,True
19,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
20,C,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,True
20,C,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,True
21,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,True
21,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
22,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
22,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
23,C,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,True
23,C,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,True
24,C,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,True
24,C,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,True
25,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,True
25,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,D,True
26,A,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,A,True
26,A,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,True
27,D,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,False
27,D,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,A,False
28,C,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,C,True
28,C,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,True
29,A,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,D,False
29,A,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,C,False
30,B,qwen/qwen3-32b,qwen3-32b,COT_with_Panchavakya,B,True
30,B,qwen/qwen3-32b,qwen3-32b,COT_without_Panchavakya,B,True
1,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,True
1,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,A,True
2,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,False
2,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
3,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,D,True
3,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
4,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,D,True
4,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
5,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,C,False
5,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,B,True
6,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,B,True
6,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,B,True
7,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,True
7,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,A,True
8,C,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,C,True
8,C,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,C,True
9,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,B,True
9,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,B,True
10,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,False
10,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,B,False
11,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,D,True
11,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
12,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,True
12,A,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,False
13,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,B,False
13,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,A,False
14,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,D,False
14,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,False
15,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,C,False
15,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,C,False
16,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,D,True
16,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
17,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,False
17,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,A,False
18,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,A,False
18,D,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,D,True
19,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_with_Panchavakya,B,True
19,B,qwen/qwen3-32b,qwen3-32b,ZeroShot_without_Panchavakya,B,True
